"Sample","x","Location","Region","x1","Date","Li","Be","B","Al...10","Sc","Ti","V","Cr","Mn...15","Co","Ni","Ga","Ge","As","Se","Rb","Y","Zr","Nb","Mo","Cd","In","Sn","Sb","Te","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Hg","Pb","Bi","Th","U","Na","Mg","Al...58","P","S","K","Ca","Mn...63","Fe","Zn","Cu","Sr"
"M140","09TSW020-066","Murray Goulburn Koroit","W-VIC","FCM",2008-10-27,0.02,0.0095,0.463,"<LOQ",0.036,4.58,0.274,0.091,0.213,0.016,0.233,0.009,0.0345,0.071,0.3365,13.8,0,0.005,0.003,0.276,0.002,0.003,0.0805,0.002,0.006,0.039,0.457,5e-04,0.001,0,0.002,0,0,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.004,0.004,0.008,0.009,0.005,0.017,0.0015,5e-04,3206,900,6.02,7766,2179,12642,9371,0.255,1.94,32.4,0.397,4.49
"M142","09TSW020-068","Murray Goulburn Koroit","W-VIC","FCM",2008-11-02,0.02,0.0095,0.463,"<LOQ",0.036,5.21,0.274,0.091,0.207,0.016,0.236,0.008,0.0345,0.071,0.3365,14.3,0,0.005,0.003,0.275,0.002,0.003,0.0805,0.002,0.006,0.037,0.453,5e-04,0.001,0,0.002,0,0,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.004,0.004,0.008,0.009,0.015,0.015,0.003,5e-04,3231,901,6.73,7487,2081,12217,9197,0.248,1.91,31,0.439,4.34
"M144","09TSW020-070","Murray Goulburn Koroit","W-VIC","FCM",2008-11-08,0.02,0.0095,0.463,"<LOQ",0.036,7.43,0.274,0.091,0.24,0.018,0.253,0.011,0.0345,0.071,0.3365,15.8,0,0.005,0.003,0.296,0.002,0.003,0.0805,0.002,0.006,0.042,0.539,5e-04,0.001,0,0.002,0,0,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.005,0.005,0.008,0.009,0.009,0.017,0.003,5e-04,3213,905,6.77,7867,2208,12324,9318,0.241,1.2,31.6,0.601,4.61
"M146","09TSW020-072","Murray Goulburn Koroit","W-VIC","FCM",2008-11-15,0.02,0.0095,1.33,"1.54",0.036,6.69,0.274,0.091,0.217,0.0165,0.214,0.012,0.0345,0.071,0.3365,15.2,0.001,0.041,0.017,0.289,0.002,0.003,0.0805,0.002,0.006,0.048,0.465,0.001,0.001,0.001,0.002,0.001,0.001,0.001,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.005,0.002,0.008,0.009,0.016,0.01,0.006,5e-04,3287,901,5.45,7167,1980,12638,9125,0.224,2.73,28.2,0.45,4.33
"M149","09TSW020-074","Murray Goulburn Koroit","W-VIC","FCM",2008-11-26,0.02,0.0095,1,"1.23",0.036,6.26,0.274,0.218,0.252,0.0155,0.23,0.011,0.0345,0.071,0.3365,14.4,0,0.018,0.011,0.287,0.002,0.003,0.0805,0.002,0.006,0.044,0.532,0.015,0.033,0.002,0.004,0,0,0.001,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.001,0.001,0.008,0.009,0.04,0.007,0.0015,5e-04,3224,906,5.19,7124,2040,12111,9291,0.271,1.87,30.1,0.318,4.81
"M151","09TSW020-076","Murray Goulburn Koroit","W-VIC","FCM",2008-11-30,0.02,0.0095,1.36,"1.8600000000000001",0.036,6.82,0.274,0.091,0.255,0.0175,0.206,0.014,0.0345,0.071,0.3365,15.2,0.001,0.021,0.016,0.281,0.002,0.003,0.0805,0.002,0.006,0.044,0.589,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.001,0.003,0.008,0.009,0.038,0.013,0.0015,5e-04,3323,934,5.57,7741,2195,12453,9367,0.311,2.44,31.5,0.347,4.75
"M153","09TSW020-078","Murray Goulburn Koroit","W-VIC","FCM",2008-12-11,0.02,0.0095,1.46,"0.71999999999999997",0.036,3.37,0.274,0.091,0.261,0.0155,0.207,0.013,0.0345,0.071,0.3365,15.3,0.001,0.022,0.011,0.288,0.002,0.003,0.0805,0.002,0.006,0.051,0.539,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,0.001,0.001,5e-04,0.001,0,0.001,0.002,0.008,0.009,0.016,0.01,0.0015,5e-04,3466,944,4.76,7463,2137,12820,9317,0.285,1.71,30.7,0.426,4.65
"M155","09TSW020-080","Murray Goulburn Koroit","W-VIC","FCM",2008-12-20,0.02,0.0095,1.05,"0.72599999999999998",0.036,3.37,0.274,0.091,0.229,0.0145,0.182,0.01,0.0345,0.071,0.3365,14,0,0.011,0.007,0.268,0.002,0.003,0.0805,0.002,0.006,0.046,0.482,5e-04,0.001,0,0.002,0,0,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,5e-04,0.001,0.008,0.009,0.041,0.007,0.0015,5e-04,3464,998,4.78,7490,2169,12758,9415,0.298,1.98,31,0.324,4.59
"M158","09TSW020-082","Murray Goulburn Koroit","W-VIC","FCM",2008-12-29,0.02,0.0095,1.43,"0.91000000000000003",0.036,3.14,0.274,0.091,0.233,0.0155,0.184,0.013,0.0345,0.071,0.3365,15.5,0.001,0.028,0.014,0.263,0.002,0.003,0.0805,0.002,0.006,0.05,0.563,5e-04,0.001,0.001,0.002,0.001,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.003,0.003,0.008,0.009,0.011,0.009,0.0015,5e-04,3591,981,4.39,7477,2148,13275,9415,0.284,2.64,30.9,0.185,4.73
"M160","09TSW020-084","Murray Goulburn Koroit","W-VIC","FCM",2009-01-04,0.02,0.0095,1.42,"1.9199999999999999",0.036,5.27,0.274,0.091,0.262,0.0155,0.206,0.013,0.0345,0.071,0.3365,14.4,0.001,0.017,0.012,0.285,0.002,0.003,0.0805,0.002,0.006,0.051,0.525,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,5e-04,0.002,0.008,0.009,0.143,0.005,0.0015,5e-04,3460,965,5.65,7599,2193,12441,9471,0.297,2.09,32.1,0.235,4.79
"M163","09TSW020-087","Murray Goulburn Rochester","N-VIC","FCMP 28%",2008-09-21,0.02,0.0095,1.43,"1.95",0.036,4.8,0.274,0.091,0.197,0.0165,0.201,0.013,0.0345,0.071,0.3365,9.26,0.001,0.015,0.009,0.248,0.002,0.003,0.0805,0.002,0.006,0.02,0.587,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,5e-04,0.002,0.008,0.009,0.019,0.005,0.0015,5e-04,3367,915,5.36,7839,2047,12691,9247,0.25,1.71,30.3,0.563,6.82
"M164","09TSW020-088","Murray Goulburn Rochester","N-VIC","FCMP 28%",2009-09-28,0.02,0.0095,1.64,"1.28",0.036,4.22,0.274,0.091,0.201,0.0155,0.186,0.014,0.0345,0.071,0.3365,10.2,0.001,0.017,0.01,0.249,0.002,0.003,0.0805,0.002,0.006,0.025,0.621,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,0.001,0.001,5e-04,0.001,0,5e-04,0.002,0.008,0.009,0.039,0.012,0.0015,0.001,3328,931,5.66,8299,2160,12925,9187,0.212,1.65,30.9,0.331,6.85
"M165","09TSW020-088","Murray Goulburn Rochester","N-VIC","FCMP 28%",2009-09-28,0.02,0.0095,1.54,"3.3300000000000001",0.036,4.87,0.274,0.271,0.207,0.0165,0.212,0.014,0.0345,0.071,0.3365,10.1,0.001,0.017,0.012,0.248,0.002,0.003,0.0805,0.002,0.006,0.025,0.623,0.005,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.001,0.002,0.008,0.009,0.021,0.012,0.0015,5e-04,3342,916,5.74,7624,2036,12896,9261,0.223,1.75,30.4,0.631,6.73
"M166","09TSW020-089","Murray Goulburn Rochester","N-VIC","FCMP 28%",2008-10-07,0.02,0.0095,1.46,"1.4099999999999999",0.036,3.72,0.274,0.091,0.203,0.0165,0.194,0.012,0.0345,0.071,0.3365,10.1,0.001,0.014,0.009,0.235,0.002,0.003,0.0805,0.002,0.006,0.023,0.643,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.001,0.001,0.008,0.009,0.019,0.006,0.0015,5e-04,3246,917,5.38,7303,2024,12594,9538,0.216,1.97,30.5,0.371,7.15
"M167","09TSW020-090","Murray Goulburn Rochester","N-VIC","FCMP 28%",2008-10-14,0.02,0.0095,1.42,"1.95",0.036,3.48,0.274,0.091,0.182,0.0155,0.183,0.011,0.0345,0.071,0.3365,9.82,0,0.011,0.008,0.225,0.002,0.003,0.0805,0.002,0.006,0.026,0.588,5e-04,0.001,0,0.002,0,0,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,5e-04,0.001,0.008,0.009,0.005,0.006,0.0015,5e-04,3195,918,5.17,7306,1999,12544,9222,0.23,1.83,30.1,0.618,6.95
"M168","09TSW020-091","Murray Goulburn Rochester","N-VIC","FCMP 28%",2008-10-21,0.02,0.0095,1.8,"1.71",0.036,3.11,0.274,0.091,0.183,0.0155,0.173,0.012,0.0345,0.071,0.3365,10.5,0.001,0.012,0.009,0.242,0.002,0.003,0.0805,0.002,0.006,0.027,0.572,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,5e-04,0.002,0.008,0.009,0.06,0.007,0.0015,5e-04,3170,913,4.54,7570,2085,12577,9216,0.215,1.53,30.9,0.524,6.31
"M169","09TSW020-092","Murray Goulburn Rochester","N-VIC","FCMP 28%",2008-10-28,0.02,0.0095,1.61,"2.21",0.036,2.93,0.274,0.091,0.186,0.0155,0.183,0.011,0.0345,0.071,0.3365,9.39,0,0.011,0.006,0.226,0.002,0.003,0.0805,0.002,0.006,0.023,0.59,5e-04,0.001,0,0.002,0,0,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,5e-04,0.001,0.008,0.009,0.034,0.004,0.0015,5e-04,3019,894,4.69,7324,2052,12005,9145,0.205,1.73,31.2,0.497,7.04
"M170","09TSW020-093","Murray Goulburn Rochester","N-VIC","FCMP 28%",2008-11-07,0.02,0.0095,1.95,"2.23",0.036,4.95,0.274,0.091,0.211,0.0175,0.208,0.013,0.0345,0.071,0.3365,10.4,0.001,0.028,0.016,0.233,0.002,0.003,0.0805,0.002,0.006,0.027,0.596,5e-04,0.001,0.001,0.002,0.001,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.004,0.003,0.008,0.009,0.203,0.0015,0.006,5e-04,3186,915,5.46,7169,1973,12727,9409,0.216,2.32,29.6,0.597,7.07
"M171","09TSW020-094","Murray Goulburn Rochester","N-VIC","FCMP 28%",2008-11-14,0.02,0.0095,2.04,"4.4400000000000004",0.036,7.66,0.274,0.091,0.235,0.0195,0.24,0.016,0.0345,0.071,0.3365,10.5,0.001,0.025,0.017,0.255,0.002,0.003,0.0805,0.002,0.006,0.026,0.698,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,0.001,0.001,0.001,0.001,0,0.002,0.004,0.008,0.009,0.018,0.004,0.004,0.001,3008,897,7.65,7709,2161,12067,9896,0.239,2.12,33.4,0.441,7.45
"M172","09TSW020-095","Murray Goulburn Rochester","N-VIC","FCMP 28%",2008-11-21,0.02,0.0095,1.8,"2.3500000000000001",0.036,5.37,0.274,0.091,0.246,0.0185,0.21,0.015,0.0345,0.071,0.3365,10.3,0.001,0.017,0.013,0.253,0.002,0.003,0.0805,0.002,0.006,0.027,0.67,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,0.001,0.001,0.001,0.001,0,0.002,0.004,0.008,0.009,0.034,0.006,0.0015,0.001,3025,911,5.19,7779,2170,11981,9767,0.29,2.24,34.5,0.551,7.38
"M173","09TSW020-096","Murray Goulburn Rochester","N-VIC","FCMP 28%",2008-11-28,0.02,0.0095,1.64,"2.0099999999999998",0.036,4.21,0.274,0.091,0.218,0.0175,0.212,0.011,0.0345,0.071,0.3365,9.27,0.001,0.016,0.009,0.237,0.021,0.003,0.0805,0.002,0.006,0.023,0.591,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.001,0.002,0.008,0.009,0.016,0.006,0.0015,5e-04,2976,900,5.07,7356,2087,11814,9555,0.26,2.35,33.1,0.463,7.35
"M174","09TSW020-096","Murray Goulburn Rochester","N-VIC","FCMP 28%",2008-11-28,0.02,0.0095,1.74,"2.3700000000000001",0.036,5.12,0.274,0.091,0.227,0.0195,0.239,0.013,0.0345,0.071,0.3365,9.79,0.001,0.023,0.013,0.244,0.002,0.003,0.0805,0.002,0.006,0.025,0.616,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.002,0.002,0.008,0.009,0.076,0.006,0.003,0.001,2989,892,6.03,7338,2070,11863,9647,0.222,1.97,32.3,0.617,7.31
"M175","09TSW020-097","Murray Goulburn Rochester","N-VIC","FCMP 26%",2008-12-07,0.02,0.0095,1.67,"4.6900000000000004",0.036,3.57,0.274,0.091,0.206,0.0185,0.208,0.011,0.0345,0.071,0.3365,8.7,0.001,0.014,0.009,0.221,0.002,0.003,0.0805,0.002,0.006,0.02,0.525,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.001,0.001,0.008,0.009,0.014,0.005,0.0015,5e-04,2786,856,6.61,7077,2023,11020,9241,0.216,1.98,31.3,0.36,6.96
"M176","09TSW020-098","Murray Goulburn Rochester","N-VIC","FCMP 28%",2008-12-14,0.02,0.0095,1.45,"1.49",0.036,2.66,0.274,0.091,0.203,0.0165,0.188,0.01,0.0345,0.071,0.3365,8.12,0,0.005,0.003,0.22,0.002,0.003,0.0805,0.002,0.006,0.019,0.511,5e-04,0.001,0,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,5e-04,0.001,0.008,0.009,0.026,0.004,0.0015,5e-04,2894,892,4.45,7176,2087,11206,9278,0.26,1.96,33.1,0.374,6.94
"M177","09TSW020-099","Murray Goulburn Rochester","N-VIC","FCMP 26%",2008-12-21,0.02,0.0095,1.85,"2.6000000000000001",0.036,5.78,0.274,0.091,0.227,0.0205,0.237,0.013,0.0345,0.071,0.3365,8.96,0.001,0.018,0.015,0.234,0.002,0.003,0.0805,0.002,0.006,0.02,0.571,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,0.001,0.001,0.001,0.001,0,0.001,0.003,0.008,0.009,0.01,0.005,0.0015,0.001,2868,878,6.03,7160,2031,11122,9526,0.239,2.57,31.2,0.445,7.15
"M178","09TSW020-100","Murray Goulburn Rochester","N-VIC","FCMP 26%",2008-12-28,0.02,0.0095,2.3,"4.1100000000000003",0.036,7.18,0.274,0.091,0.237,0.0195,0.236,0.014,0.0345,0.071,0.3365,11.7,0.001,0.023,0.018,0.22,0.002,0.003,0.0805,0.002,0.006,0.031,0.593,0.002,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,0.001,0.001,0.001,0.001,0,0.001,0.004,0.008,0.009,0.014,0.004,0.003,0.001,3234,937,7.11,7659,2074,12776,9513,0.28,2.06,31.5,0.374,7.2
"M179","09TSW020-101","Murray Goulburn Rochester","N-VIC","FCMP 26%",2009-01-07,0.02,0.0095,2.48,"16.600000000000001",0.036,5.92,0.274,0.31,0.261,0.0225,0.298,0.016,0.0345,0.071,0.3365,11.9,0.001,0.029,0.02,0.244,0.002,0.003,0.0805,0.002,0.006,0.033,0.591,0.002,0.001,0.001,0.002,0,0.001,0.001,5e-04,5e-04,0.001,0.001,0.001,0.001,0,0.003,0.005,0.008,0.009,0.072,0.005,0.004,0.002,3199,913,11.9,7663,2043,12491,9176,0.233,1.67,31.7,0.248,6.86
"M180","09TSW020-102","Murray Goulburn Rochester","N-VIC","FCMP 28%",2009-01-13,0.02,0.0095,2.27,"1.4099999999999999",0.036,3.23,0.274,0.091,0.221,0.0185,0.215,0.011,0.0345,0.071,0.3365,10.1,0.001,0.013,0.008,0.199,0.002,0.003,0.0805,0.002,0.006,0.027,0.543,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.001,0.001,0.008,0.009,0.007,0.0015,0.0015,5e-04,3281,934,5.08,7338,2064,12206,9181,0.267,2.09,31.5,0.397,7.68
"M181","09TSW020-103","Murray Goulburn Rochester","N-VIC","FCMP 26%",2009-01-23,0.02,0.0095,2.21,"2.6099999999999999",0.036,4.93,0.274,0.091,0.249,0.0205,0.244,0.013,0.0345,0.071,0.3365,12.1,0.001,0.018,0.011,0.217,0.002,0.003,0.0805,0.002,0.006,0.036,0.62,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,0.001,0.001,5e-04,0.001,0,0.001,0.002,0.008,0.009,0.009,0.0015,0.0015,0.001,3355,950,5.88,7486,2080,12952,9636,0.253,2.3,31.5,0.5,7.39
"M182","09TSW020-103","Murray Goulburn Rochester","N-VIC","FCMP 26%",2009-01-23,0.02,0.0095,2.29,"4.1500000000000004",0.036,6.04,0.274,0.091,0.249,0.0205,0.261,0.014,0.0345,0.071,0.3365,11.9,0.002,0.034,0.017,0.212,0.002,0.003,0.0805,0.002,0.006,0.037,0.625,0.002,0.001,0.001,0.002,0.001,0.001,5e-04,5e-04,5e-04,0.001,0.001,0.001,0.001,0,0.005,0.003,0.008,0.009,0.019,0.0015,0.007,0.001,3326,935,5.85,7180,2014,12864,9631,0.237,2.78,30.7,0.289,7.32
"M183","09TSW020-104","Tatura","N-VIC","FCMP H/H",2008-09-29,0.02,0.0095,1.38,"1.8600000000000001",0.036,3.34,0.274,0.091,0.209,0.0185,0.236,0.011,0.0345,0.071,0.3365,9.54,0.001,0.016,0.009,0.242,0.002,0.003,0.0805,0.002,0.006,0.019,0.583,0.002,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.002,0.001,0.008,0.009,0.006,0.006,0.0015,5e-04,3272,935,4.76,7412,2074,12483,9513,0.25,1.98,31.3,0.543,6.76
"M184","09TSW020-105","Tatura","N-VIC","FCMP 26%",2008-10-06,0.02,0.0095,1.66,"45.799999999999997",0.036,6.45,0.274,0.091,0.261,0.0211251689442859,0.30429467557548,0.019,0.0345,0.071,0.3365,11.6,0.001,0.027,0.017,0.288,0.002,0.003,0.0805,0.002,0.006,0.025,0.677,5e-04,0.001,0.001,0.002,0.001,0.001,5e-04,5e-04,5e-04,0.002,0.001,0.001,0.001,0,0.003,0.003,0.008,0.009,0.016,0.015,0.005,0.002,2936,860,24.6,7537,2092,11152,9360,0.257,1.33,31.8,0.688,6.26
"M185","09TSW020-106","Tatura","N-VIC","FCMP 26% fat",2008-10-15,0.02,0.0095,1.3,"0.94599999999999995",0.036,3.47,0.274,0.091,0.213,0.0168848883631524,0.238079498018634,0.01,0.0345,0.071,0.3365,10.3,0.001,0.012,0.007,0.259,0.002,0.003,0.0805,0.002,0.006,0.021,0.577,5e-04,0.001,0,0.002,0.001,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.001,0.001,0.008,0.009,0.006,0.006,0.0015,5e-04,3175,923,4.59,7226,2032,12248,9334,0.235,2.09,30.8,0.585,6.59
"M186","09TSW020-107","Tatura","N-VIC","FCMP 26%",2008-10-19,0.02,0.0095,1.79,"2.3300000000000001",0.036,5.59,0.274,0.091,0.238,0.01945500218436,0.258432202458515,0.014,0.0345,0.071,0.3365,13.6,0.001,0.019,0.012,0.357,0.002,0.003,0.0805,0.002,0.006,0.03,0.65,0.003,0.003,0.001,0.002,0.001,0.001,5e-04,5e-04,5e-04,0.001,0.001,0.001,0.001,0,0.002,0.002,0.008,0.009,0.039,0.007,0.003,5e-04,3395,972,5.68,8221,2248,13193,10065,0.246,2.67,33.4,0.517,6.48
"M187","09TSW020-108","Tatura","N-VIC","FCMP 26%",2008-10-20,0.02,0.0095,1.6,"1.46",0.036,3.64,0.274,0.091,0.253,0.0181871324056807,0.226672419773154,0.014,0.0345,0.071,0.3365,10.9,0.001,0.016,0.01,0.232,0.002,0.003,0.0805,0.002,0.006,0.022,0.634,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,0.001,0.001,5e-04,0.001,0,0.001,0.002,0.008,0.009,0.015,0.0015,0.0015,0.001,3322,948,4.56,7655,2142,12291,9524,0.3,2.95,32.6,0.41,6.52
"M188","09TSW020-109","Tatura","N-VIC","FCMP 26%",2008-10-23,0.02,0.0095,1.55,"1.6399999999999999",0.036,2.94,0.274,0.449,0.249,0.0188095406360424,0.316771417303881,0.012,0.0345,0.071,0.3365,11.3,0.001,0.012,0.008,0.256,0.002,0.003,0.0805,0.002,0.006,0.022,0.619,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.001,0.002,0.008,0.009,0.014,0.003,0.0015,5e-04,3251,949,4.91,7457,2102,12313,9575,0.292,2.47,31.7,0.376,6.9
"M189","09TSW020-109","Tatura","N-VIC","FCMP 26%",2008-10-23,0.02,0.0095,1.83,"1.8500000000000001",0.036,3.1,0.274,0.091,0.256,0.0194139155871291,0.250406266628153,0.015,0.0345,0.071,0.3365,12.1,0.001,0.023,0.015,0.253,0.002,0.003,0.0805,0.002,0.006,0.024,0.677,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,0.001,0.002,0.001,0.001,0,0.003,0.004,0.008,0.009,0.014,0.004,0.004,0.002,3229,938,5.82,7556,2070,12293,9623,0.242,1.54,31,0.316,6.87
"M194","09TSW020-110","Tatura","N-VIC","FCMP 26%",2008-10-29,0.02,0.0095,2.36,"2.0499999999999998",0.036,4.18,0.274,0.576,0.267,0.0191009886035974,0.309641574436716,0.016,0.0345,0.071,0.3365,10.5,0.001,0.02,0.013,0.256,0.002,0.003,0.0805,0.002,0.006,0.022,0.682,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,0.001,0.001,0.001,0.001,0,0.003,0.004,0.008,0.009,0.02,0.005,0.004,0.002,2829,864,5.05,7717,2131,11156,9322,0.319,3.59,32.6,0.607,6.76
"M195","09TSW020-110","Tatura","N-VIC","FCMP 26%",2008-10-29,0.02,0.0095,2.55,"1.74",0.036,4.4,0.274,0.857,0.269,0.0196842425883309,0.315361212163322,0.017,0.0345,0.071,0.3365,10.9,0.001,0.021,0.013,0.265,0.002,0.003,0.0805,0.002,0.006,0.023,0.715,5e-04,0.001,0.001,0.002,0,0.001,0.001,5e-04,5e-04,0.001,0.001,0.001,0.001,0,0.002,0.005,0.008,0.009,0.012,0.005,0.004,5e-04,2856,869,5.34,8113,2210,11241,9262,0.305,3.48,33,0.631,6.7
"M196","09TSW020-111","Tatura","N-VIC","FCMP",2008-11-04,0.02,0.0095,2.66,"1.73",0.036,4.64,0.274,0.222,0.392,0.028126752102523,0.347297183783545,0.022,0.0345,0.071,0.3365,18.1,0.001,0.017,0.011,0.387,0.002,0.003,0.0805,0.002,0.006,0.035,1.09,5e-04,0.001,0.001,0.002,0,0.001,0.001,5e-04,5e-04,0.001,0.001,0.001,0.001,0,0.002,0.004,0.008,0.009,0.008,0.008,0.003,0.002,4637,1428,6.95,12456,3518,18053,15401,0.468,3.06,53.1,0.755,11.1
"M197","09TSW020-112","Tatura","N-VIC","FCMP 26%",2008-11-09,0.02,0.0095,1.44,"1.8899999999999999",0.036,2.71,0.274,0.837,0.214,0.0121721527320606,0.245556189855629,0.01,0.0345,0.071,0.3365,8.35,0.001,0.013,0.009,0.179,0.002,0.003,0.0805,0.002,0.006,0.018,0.447,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.002,0.003,0.008,0.009,0.013,0.005,0.003,0.001,2029,610,4.28,5502,1518,7898,6599,0.207,4.71,23.7,0.297,4.55
"M198","09TSW020-113","Tatura","N-VIC","FCMP LT 26%",2008-11-18,0.02,0.0095,2.02,"2.5499999999999998",0.036,4.01,0.274,0.214,0.264,0.018785231848292,0.257084845304745,0.015,0.0345,0.071,0.3365,12.3,0.001,0.021,0.014,0.256,0.002,0.003,0.0805,0.002,0.006,0.027,0.68,5e-04,0.001,0.001,0.002,0,0.001,0.001,5e-04,5e-04,0.001,0.001,0.001,0.001,0,0.002,0.004,0.008,0.009,0.055,0.004,0.005,0.002,3102,928,5.45,8023,2132,12201,9449,0.252,1.65,31.3,0.058,6.75
"M199","09TSW020-114","Tatura","N-VIC","FCMP 26%",2008-12-27,0.02,0.0095,2.09,"7.6200000000000001",0.036,3.68,0.274,0.091,0.259,0.01850153787005,0.249883166278222,0.015,0.0345,0.071,0.3365,11.9,0.001,0.02,0.013,0.228,0.002,0.003,0.0805,0.002,0.006,0.024,0.621,5e-04,0.001,0.001,0.002,0,0.001,0.001,5e-04,5e-04,0.001,0.001,0.001,0.001,0,0.002,0.003,0.008,0.009,0.023,0.0015,0.005,0.002,3163,943,8.22,8040,2186,12450,9615,0.245,1.99,33.7,0.427,6.37
